0 109 91 94 91 91 128 126 90 147 91 91 97 178 91 136 91 90 91 154 91 127 151 90 91 91 119 90 95 92 104 90 -- ad=-21, fs=0
90 109 90 93 91 91 135 91 124 90 90 148 91 91 97 141 91 -- ad=-8, fs=0
90 109 91 95 125 112 91 126 123 91 92 139 90 91 122 91 90 113 91 90 149 91 91 137 90 90 111 -- ad=18, fs=0
90 109 91 93 91 155 106 91 91 162 91 115 90 98 90 169 90 101 91 90 90 91 92 91 90 91 139 91 -- ad=-12, fs=0
90 109 91 95 125 112 91 121 113 91 90 90 90 138 91 132 90 139 127 91 93 96 90 99 90 172 -- ad=5, fs=2
90 109 91 94 91 91 93 90 91 91 90 100 90 94 90 108 92 90 90 91 123 90 91 -- ad=-3, fs=1
91 109 91 93 90 156 91 91 102 91 91 90 90 106 91 166 90 125 91 90 126 -- ad=-8, fs=0
91 124 126 91 90 91 90 90 90 94 190 104 91 90 103 94 91 90 93 90 171 91 90 103 90 -- ad=5, fs=2
90 109 90 93 91 91 126 90 105 90 110 90 122 91 136 91 91 90 91 90 91 103 94 90 -- ad=8, fs=1
91 109 91 93 90 155 106 91 131 97 96 122 99 90 105 90 169 90 91 126 106 104 136 111 91 115 -- ad=-4, fs=0
91 109 91 93 90 109 91 91 91 159 110 100 91 91 97 90 90 91 160 224 108 90 148 91 91 90 91 90 128 90 91 113 116 -- ad=-1, fs=1
90 109 91 94 91 91 92 90 97 91 91 117 91 95 90 90 91 102 90 91 90 113 90 101 90 91 91 91 90 90 117 -- ad=-3, fs=1
90 109 91 94 91 91 93 90 125 90 147 161 124 90 100 90 90 118 95 91 90 91 91 90 90 97 205 -- ad=11, fs=1
90 109 91 93 91 130 91 91 90 91 91 134 91 104 90 111 90 91 117 91 107 206 90 90 91 96 90 90 96 91 110 97 91 -- ad=0, fs=0
153 109 90 93 91 91 133 91 90 134 90 97 114 159 90 90 134 91 91 168 90 91 91 102 90 97 90 90 90 90 -- ad=-9, fs=1
90 93 91 118 91 151 90 148 92 116 90 118 92 90 90 91 128 90 133 153 90 91 144 91 90 128 125 90 226 -- ad=11, fs=0
90 109 91 94 91 91 164 91 129 90 91 91 90 90 90 90 116 90 90 143 91 90 90 91 107 135 108 90 93 90 90 109 91 99 91 90 91 123 -- ad=-12, fs=0
91 109 90 93 91 91 107 90 98 108 102 111 105 91 104 90 104 90 90 90 91 90 91 90 116 90 -- ad=-1, fs=0
90 109 91 93 90 137 90 150 90 90 136 161 90 93 91 90 91 90 90 90 90 90 117 91 103 91 173 91 138 90 148 90 91 113 -- ad=3, fs=0
90 109 91 93 91 123 90 98 90 90 174 91 94 143 101 90 90 100 90 91 91 97 90 129 91 91 91 91 90 110 124 154 90 128 120 90 94 90 90 -- ad=-2, fs=0
91 109 90 93 91 91 107 90 98 108 102 111 105 91 104 90 104 90 90 90 91 90 91 90 116 90 -- ad=-1, fs=0
90 109 91 94 91 90 124 91 148 90 92 168 90 91 101 90 118 90 91 91 91 91 91 102 90 90 98 -- ad=-2, fs=0
91 109 90 93 91 91 126 90 105 90 110 90 122 91 136 91 91 90 91 90 91 103 94 90 -- ad=8, fs=1
91 109 91 93 90 123 90 119 91 91 166 91 91 111 126 120 90 94 163 90 91 90 90 90 94 91 160 91 90 90 90 91 91 90 90 -- ad=4, fs=1
91 109 91 94 91 90 136 90 91 90 155 90 109 95 90 121 139 125 91 91 170 106 98 91 91 91 91 156 98 90 90 90 90 108 90 115 -- ad=4, fs=0
90 109 90 93 91 91 153 91 90 91 99 90 161 90 153 91 100 91 92 90 147 91 90 90 125 91 105 141 90 90 91 90 90 98 90 91 -- ad=-18, fs=0
90 109 90 93 91 91 126 90 105 90 110 90 122 91 136 91 91 90 91 90 91 103 94 90 -- ad=8, fs=1
91 109 90 93 91 91 92 90 90 100 90 90 90 91 107 90 90 90 91 90 145 91 120 91 90 90 92 91 -- ad=-5, fs=0
91 109 91 94 91 91 92 90 169 90 90 90 107 90 90 91 90 95 91 -- ad=4, fs=0
91 109 91 93 90 123 91 130 99 153 107 104 133 90 119 90 90 101 172 90 125 90 91 90 90 -- ad=23, fs=0
90 109 91 93 91 123 91 121 90 90 94 90 111 91 90 143 90 97 157 90 105 91 96 -- ad=-12, fs=0
166 109 90 93 91 91 107 90 98 108 102 111 105 91 104 90 104 90 90 90 91 90 91 90 116 90 -- ad=-1, fs=0
90 109 91 94 91 91 124 90 140 90 90 91 141 91 165 119 90 97 91 92 -- ad=8, fs=0
90 109 91 93 91 123 90 129 90 90 111 126 91 90 120 91 142 -- ad=-22, fs=0
98 109 91 94 91 91 95 91 90 150 90 140 90 91 90 171 90 118 91 111 90 104 -- ad=8, fs=0
91 109 91 94 91 91 92 90 169 90 90 90 107 90 90 91 90 95 91 -- ad=4, fs=0
90 109 91 94 91 91 121 90 90 90 90 90 90 99 90 165 119 90 106 90 90 -- ad=8, fs=0
90 109 90 93 91 91 135 91 124 90 90 148 91 91 97 141 91 -- ad=-8, fs=0
90 109 90 93 91 90 95 91 91 151 90 91 104 114 90 92 91 120 91 90 91 104 99 90 165 -- ad=32, fs=0
98 109 91 93 91 156 91 91 96 132 90 91 90 115 150 91 90 91 90 90 91 159 90 90 91 130 91 93 -- ad=-11, fs=0
90 109 91 93 91 118 90 91 91 91 90 90 163 92 91 90 103 90 91 143 91 111 -- ad=-32, fs=0
148 124 126 90 142 91 99 135 120 91 104 90 90 172 105 94 114 91 91 113 90 165 101 90 98 90 90 146 90 -- ad=25, fs=1
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 91 94 91 91 92 90 169 90 90 90 107 90 90 91 90 95 91 -- ad=4, fs=0
90 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
91 109 90 93 91 91 135 91 124 90 90 148 91 91 97 141 91 -- ad=-8, fs=0
91 109 91 93 91 92 90 97 91 116 91 111 90 129 91 91 91 90 90 90 91 103 90 90 -- ad=8, fs=0
90 109 91 94 91 91 141 90 171 91 90 91 107 157 121 90 90 119 90 -- ad=8, fs=0
90 109 91 94 91 91 92 90 169 90 90 90 107 90 90 91 90 95 91 -- ad=4, fs=0
91 109 90 93 91 91 135 91 133 91 90 150 90 90 101 91 102 90 110 90 128 91 -- ad=-15, fs=0
91 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
90 109 91 94 91 91 124 90 170 90 90 91 90 99 91 90 91 110 121 161 117 115 137 90 91 -- ad=8, fs=0
90 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ad=-2, fs=0
160 109 91 94 91 91 93 90 91 91 90 100 90 94 90 108 90 91 91 119 -- ad=27, fs=0
90 109 91 93 91 92 91 104 90 90 145 91 159 90 90 91 91 91 107 128 129 90 90 101 -- ad=-15, fs=1
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
90 109 91 94 91 91 124 90 170 90 90 91 90 99 91 90 91 110 121 161 117 115 137 90 91 -- ad=8, fs=0
90 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ad=-2, fs=0
160 109 91 94 91 90 96 90 91 95 90 90 91 91 115 90 139 90 90 167 91 116 90 -- ad=-10, fs=0
103 109 91 94 91 91 153 91 91 91 90 90 91 158 91 91 166 90 91 91 -- ad=8, fs=0
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
90 109 91 94 91 91 124 90 170 90 90 91 90 99 91 90 91 110 121 161 117 115 137 90 91 -- ad=8, fs=0
90 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ad=-2, fs=0
160 109 91 94 91 90 96 90 91 95 90 90 91 91 115 90 139 90 90 167 91 116 90 -- ad=-10, fs=0
103 109 91 94 91 91 153 91 91 91 90 90 91 158 91 91 166 90 91 91 -- ad=8, fs=0
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 123 91 121 90 90 94 90 111 91 90 143 90 97 157 90 105 91 96 -- ad=-12, fs=0
166 109 91 93 90 156 91 91 102 91 91 90 90 106 91 166 90 125 91 90 126 -- ad=-8, fs=0
90 109 91 94 91 91 95 91 90 146 91 99 90 118 120 135 90 90 121 -- ad=8, fs=0
90 109 91 93 91 92 91 104 90 90 106 91 91 90 112 91 90 132 91 91 90 90 114 93 90 -- ad=-25, fs=0
90 109 91 94 91 91 153 91 91 91 90 90 91 158 91 91 166 90 91 91 -- ad=8, fs=0
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
90 109 91 94 91 91 124 90 170 90 90 91 90 99 91 90 91 110 121 161 117 115 137 90 91 -- ad=8, fs=0
90 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ad=-2, fs=0
160 109 91 94 91 90 96 90 91 95 90 90 91 91 115 90 139 90 90 167 91 116 90 -- ad=-10, fs=0
103 109 91 94 91 91 153 91 91 91 90 90 91 158 91 91 166 90 91 91 -- ad=8, fs=0
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
90 109 91 94 91 91 124 90 170 90 90 91 90 99 91 90 91 110 121 161 117 115 137 90 91 -- ad=8, fs=0
90 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ad=-2, fs=0
160 109 91 94 91 91 93 90 91 91 90 100 90 94 90 108 90 91 91 119 -- ad=27, fs=0
90 109 91 93 91 92 91 104 90 90 145 91 159 90 90 91 91 91 107 128 129 90 90 101 -- ad=-15, fs=1
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
90 109 91 94 91 91 124 90 170 90 90 91 90 99 91 90 91 110 121 161 117 115 137 90 91 -- ad=8, fs=0
90 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ad=-2, fs=0
160 109 91 94 91 90 96 90 91 95 90 90 91 91 115 90 139 90 90 167 91 116 90 -- ad=-10, fs=0
103 109 91 94 91 91 153 91 91 91 90 90 91 158 91 91 166 90 91 91 -- ad=8, fs=0
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 123 91 121 90 90 94 90 111 91 90 143 90 97 157 90 105 91 96 -- ad=-12, fs=0
166 109 91 93 90 156 91 91 102 91 91 90 90 106 91 166 90 125 91 90 126 -- ad=-8, fs=0
90 109 91 94 91 91 95 91 90 146 91 99 90 118 120 135 90 90 121 -- ad=8, fs=0
90 109 91 93 91 92 91 104 90 90 106 91 91 90 112 91 90 132 91 91 90 90 114 93 90 -- ad=-25, fs=0
90 109 91 94 91 91 153 91 91 91 90 90 91 158 91 91 166 90 91 91 -- ad=8, fs=0
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
90 109 91 94 91 91 124 90 170 90 90 91 90 99 91 90 91 110 121 161 117 115 137 90 91 -- ad=8, fs=0
90 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ad=-2, fs=0
160 109 91 94 91 90 96 90 91 95 90 90 91 91 115 90 139 90 90 167 91 116 90 -- ad=-10, fs=0
103 109 91 94 91 91 153 91 91 91 90 90 91 158 91 91 166 90 91 91 -- ad=8, fs=0
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
90 109 91 94 91 91 124 90 170 90 90 91 90 99 91 90 91 110 121 161 117 115 137 90 91 -- ad=8, fs=0
90 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ad=-2, fs=0
160 109 91 94 91 91 93 90 91 91 90 100 90 94 90 108 90 91 91 119 -- ad=27, fs=0
90 109 91 93 91 92 91 104 90 90 145 91 159 90 90 91 91 91 107 128 129 90 90 101 -- ad=-15, fs=1
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
90 109 91 94 91 91 124 90 170 90 90 91 90 99 91 90 91 110 121 161 117 115 137 90 91 -- ad=8, fs=0
90 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ad=-2, fs=0
160 109 91 94 91 90 96 90 91 95 90 90 91 91 115 90 139 90 90 167 91 116 90 -- ad=-10, fs=0
103 109 91 94 91 91 153 91 91 91 90 90 91 158 91 91 166 90 91 91 -- ad=8, fs=0
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 123 91 121 90 90 94 90 111 91 90 143 90 97 157 90 105 91 96 -- ad=-12, fs=0
166 109 91 93 90 156 91 91 102 91 91 90 90 106 91 166 90 125 91 90 126 -- ad=-8, fs=0
90 109 91 94 91 91 95 91 90 146 91 99 90 118 120 135 90 90 121 -- ad=8, fs=0
90 109 91 94 91 91 179 91 90 94 91 114 90 160 91 137 90 113 127 90 96 90 90 93 90 -- ad=-11, fs=0
90 109 91 94 91 91 153 91 91 91 90 90 91 158 91 91 166 90 91 91 -- ad=8, fs=0
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 91 94 91 91 124 90 144 90 90 90 165 119 90 104 90 100 90 90 -- ad=8, fs=0
91 109 91 94 91 91 124 91 126 91 140 162 148 90 90 119 90 -- ad=8, fs=0
90 109 91 94 91 90 164 91 148 90 90 90 90 115 153 91 92 90 90 91 90 109 109 -- ad=-6, fs=0
90 109 91 93 91 97 91 90 90 94 91 103 182 90 90 90 156 90 90 91 101 154 113 -- ad=1, fs=0
91 109 91 93 91 129 149 91 90 90 142 219 90 99 91 109 115 92 185 -- ad=-16, fs=0
90 109 91 93 91 123 91 133 90 103 129 116 90 90 90 129 90 120 110 100 143 90 -- ad=19, fs=0
9862 109 90 93 91 91 157 91 90 101 96 91 90 90 118 100 90 90 90 118 141 113 103 91 148 165 -- ad=-22, fs=0
-- (90) sg=997578 ad=70 sd=997360
